GeneID,p_val,avg_logFC,pct.1,pct.2,p_val_adj
CRABP2,0,-1.269851051,0.04,0.445,0
PCAT4,0,-1.287534223,0,0.289,0
ID1,0,-1.358962359,0.04,0.506,0
IFITM3,0,-1.424319953,0.101,0.524,0
PTGDS,0,-1.559170102,0.042,0.466,0
GSG1,0,-1.580587243,0.005,0.34,0
ID3,0,-1.687424779,0.034,0.553,0
LGALS1,0,-1.872024113,0.068,0.591,0
RBP1,0,-1.89787824,0.109,0.763,0
SERPINF1,0,-1.922951071,0.015,0.64,0
GNB3,0,-1.99235725,0.022,0.502,0
IGFBP7,0,-2.253893083,0.01,0.705,0
APOE,0,-2.279694068,0.028,0.642,0
TPH1,0,-2.280706614,0.001,0.376,0
TTR,0,-3.604265901,0.313,1,0
MT-ND2,2.35E-307,-0.576335117,0.931,0.968,7.78E-303
ZBTB18,1.31E-306,0.747983097,0.432,0.087,4.33E-302
RBFOX2,2.28E-305,0.773582873,0.505,0.151,7.52E-301
RTN4,6.63E-305,0.576262551,0.89,0.713,2.19E-300
MGP,5.94E-303,-1.413377325,0.006,0.275,1.96E-298
HMGCS1,8.21E-301,0.793267368,0.702,0.35,2.71E-296
CLU,1.73E-298,-1.216638217,0.291,0.643,5.73E-294
MEF2C,1.24E-294,1.099611541,0.333,0.032,4.11E-290
TTC9B,2.79E-294,0.732519262,0.475,0.117,9.23E-290
RPS6,4.16E-283,-0.465896071,0.979,0.984,1.38E-278
NDUFA4L2,2.24E-281,-1.456637302,0.051,0.344,7.40E-277
SPARCL1,5.34E-280,-1.156620379,0.004,0.253,1.77E-275
DDAH2,9.27E-280,0.697604958,0.808,0.571,3.06E-275
DOK5,1.06E-278,0.999006259,0.461,0.143,3.49E-274
HNRNPA1,7.14E-278,0.465013893,0.957,0.892,2.36E-273
ATAT1,1.66E-276,0.686666273,0.557,0.207,5.49E-272
ZIC4,8.87E-276,-0.550707091,0.002,0.244,2.93E-271
CELF2,1.72E-275,0.692436754,0.581,0.239,5.68E-271
